ID,First Name,Last Name,DOB,Role,Money Available,Flights Purchased,MineAir Membership,Username,Password
565,Ricky,Gardner,1/25/00,Employee,4.639249999998356,4,false,rickygardner,Fun!23
398,Benjamin,Ramirez,4/12/00,Employee,3.76174999999904,7,true,benjaminramirez,Fun!23
338,Emma,Armstrong,5/10/00,Employee,-523.4088749999983,1,true,emmaarmstrong,Fun!23
304,Gloria,Page,6/5/00,Employee,11.229499999999973,4,false,gloriapage,Fun!23
242,James,Henderson,6/16/00,Employee,7.420624999997557,7,false,jameshenderson,Fun!23
604,Victor,Ross,8/11/00,Employee,-6.413625000000636,8,true,victorross,Fun!23
585,Sheri,Adams,8/20/00,Employee,8.452499999999674,4,false,sheriadams,Fun!23
301,Theresa,Macias,8/27/00,Employee,6.9067499999998745,6,false,theresamacias,Fun!23
623,Erika,Lopez,10/30/00,Employee,80.74549999999965,3,true,erikalopez,Fun!23
349,Valerie,Moore,12/31/00,Employee,124.68562499999975,11,false,valeriemoore,Fun!23
879,Jennifer,Davidson,2/19/01,Employee,48.61337499999979,5,true,jenniferdavidson,Fun!23
919,Steven,Miller,3/10/01,Employee,-1.087750000000483,8,false,stevenmiller,Fun!23
466,George,Wood,4/17/01,Employee,-96.38575000000083,4,false,georgewood,Fun!23
827,Crystal,Hayes,8/1/01,Employee,12.002624999999767,5,false,crystalhayes,Fun!23
973,Terrence,Dixon,9/9/01,Employee,-192.0210000000011,4,false,terrencedixon,Fun!23
931,Tyler,Evans,9/12/01,Employee,61.01762500000042,6,true,tylerevans,Fun!23
629,Jacob,Contreras,9/30/01,Employee,37.47387500000022,9,true,jacobcontreras,Fun!23
736,Kimberly,Roberts,10/11/01,Employee,17.509500000001367,6,true,kimberlyroberts,Fun!23
80,Gabriela,SigalaAcosta,1/6/02,Employee,33.60374999999931,4,false,gabrielasigalaacosta,Fun!23
315,Lisa,Gaines,3/18/02,Employee,-11.215625000001069,9,false,lisagaines,Fun!23
10,Jasmine,Disney,3/22/02,Customer,-12.771875000000364,2,true,jasminedisney,Fun!23
897,Barbara,Love,4/9/02,Employee,34.07262499999956,3,false,barbaralove,Fun!23
438,Patrick,Larsen,4/21/02,Employee,66.27224999999976,2,false,patricklarsen,Fun!23
164,Haley,Moss,5/8/02,Employee,65.95000000000005,4,false,haleymoss,Fun!23
558,Heidi,Page,6/1/02,Employee,54.71674999999905,8,true,heidipage,Fun!23
726,Jennifer,Guzman,6/13/02,Employee,-2.4908750000002726,5,true,jenniferguzman,Fun!23
883,Christina,Villanueva,6/16/02,Employee,-160.40750000000025,6,true,christinavillanueva,Fun!23
200,James,Nolan,7/31/02,Employee,92.27087499999931,6,true,jamesnolan,Fun!23
463,Alexandra,Fox,8/8/02,Employee,87.47362499999909,7,false,alexandrafox,Fun!23
222,Mark,Lee,9/9/02,Employee,29.85875000000118,10,true,marklee,Fun!23
354,Kenneth,Smith,9/25/02,Employee,28.302625000000035,4,true,kennethsmith,Fun!23
780,Hayden,Mcdaniel,10/9/02,Employee,104.67974999999973,5,true,haydenmcdaniel,Fun!23
327,Bryan,Hardy,10/22/02,Employee,81.22324999999864,6,false,bryanhardy,Fun!23
